文件名,文件路径,函数名,原判定,CUDA功能及实现对比,实际可触发性,复核后是否是问题,原因,CUDA实现是否一致
ir.py,pytorch/torch_npu/_inductor/codegen/ir.py,calculate_max_remainder,是,CUDA Inductor 中不存在 calculate_max_remainder 及 NPU linear memory-access splitting 的等价实现，无法按 CUDA 同源行为排除。,可触发。默认 inductor_ascend_linear_mode 为 linear；transform_dims_in_indexing 对每个 indexing expression 调用 analyze_expression，整数 coeff/divisor 和 range_tree_nodes 中的整数 length 会进入该分支。例如 coeff=2、length=50000005、divisor=100000007 时，gcd=1、period=100000007、max_possible=100000008，满足 length-1 < period-1 且 max_possible >= divisor，start_k=0，第625行会执行50000005次。该数量级对应约一亿元素的索引跨度，不要求理论上的超大 Python 整数。,是,这是 NPU 专属分析逻辑，不属于 CUDA 同源实现；正常 codegen 调用链可达，且输入 shape/stride 会影响 length、coeff 和 divisor。源码没有迭代上限或保守 fallback，存在实际编译 CPU 耗时放大条件。,无对应实现
profiler.py,pytorch/torch_npu/_inductor/profiler.py,mspti_batch_benchmark,是,CUDA 有 CUPTI monitor 功能，但实现不一致。CUDA 的 stop_collection 在 finally 中清除 singleton，并注册 atexit 清理；NPU 此函数在 monitor.start 后直接运行 kernel，最后才调用 stop。,可触发。INDUCTOR_ASCEND_AGGRESSIVE_AUTOTUNE=1 时，_benchmark_kernel_funcs_batch 会调用该函数；任一 kernel_func、cache.zero_ 或 torch.npu.synchronize 抛异常，都会越过 monitor.stop。外层虽然捕获异常并切换 profiler benchmark，但不能补做 MSpti stop。,是,异常 benchmark config 是 autotune 中的正常失败场景，不是仅靠直接调用构造；异常后监控会话仍可能存活并影响 fallback 或后续 benchmark。,部分一致
profiler.py,pytorch/torch_npu/_inductor/profiler.py,SimpleProfilingAnalyzer._msprof_py_export,是,CUDA 没有 msprof.py，但 CUDA Inductor 的外部分析/编译工具同样普遍通过 subprocess.run/check_output 执行且不设置 timeout，例如 wrapper_benchmark 的 ncu 调用；资源控制策略一致。,正常调用依赖受信任的本机 CANN msprof.py。只有外部工具自身挂死或异常输出失控才出现扫描描述，没有来自模型输入或普通 API 参数的触发条件。,否,未设置 timeout 是外部工具调用的通用策略，CUDA 侧也一致；扫描只给出外部工具失常的理论可能，没有证明 torch_npu 正常输入可触发。,部分一致
graph_fusion.py,pytorch/torch_npu/_inductor/mfusion/graph_fusion.py,_is_mfusion_related_ir,是,CUDA 基础实现也递归传播 IR symbols：MultiOutput.get_free_symbol_uses 调用 input_node.get_free_symbol_uses，InputsKernel 再递归 inputs；NPU helper 的递归遍历模型与其一致。,正常 MFusion MultiOutput 的 input 是其 parent FallbackKernel，常见深度很小。只有人为构造超过 Python recursion limit 的深层 IR input 链才会触发；同样深度也会命中 CUDA 基础 IR 的递归 symbol traversal。,否,属于与 CUDA 一致的 IR 递归设计，且扫描没有正常 MFusion 图可达到该深度的证据；仅理论构造深层内部 IR 不认定为问题。,一致
npu_static_kernel.py,pytorch/torch_npu/_inductor/npu_static_kernel.py,StaticKernelCompiler.__exit__ / uninstall_static_kernel,是,CUDA 没有 .run 安装/卸载功能，但其 CUTLASS/CUDA/ROCm 编译器子进程也普遍不设置 timeout；op_compiler 部分的进程等待策略一致。,这些命令来自本机受信任的 op_compiler、生成的安装包和已记录卸载脚本。只有工具自身死锁/挂死才会无限等待，模型输入不能控制命令或令其稳定进入挂死状态。,否,缺少 timeout 可作为鲁棒性增强，但 CUDA 同类编译流程采用相同策略，且当前没有实际可控触发条件，不能按 DoS 缺陷认定。,部分一致
config.py,pytorch/torch_npu/_inductor/config.py,_obtain_precompile_thread_num,是,"CUDA 的 TORCHINDUCTOR_COMPILE_THREADS 同样直接 int 转换且不限制用户显式配置值，并直接用于 ThreadPoolExecutor；环境变量处理方式一致。NPU 默认值使用 max(...,32) 与 CUDA 的 min(32,cpu_count) 不同，但默认值仍有固定下界而非无界增长。","显式设置0、负数或极大值会触发线程池异常/资源压力，但这是启动进程的受信任环境配置，CUDA 同样允许。默认 max(...,32) 在低核机器会创建至少32个 worker，可能影响性能，但不能造成扫描所称的无界资源耗尽。",否,扫描的环境变量风险与 CUDA 一致，应按约定判否；max/min 和文档不一致是独立的性能/文档问题，不足以支持当前‘资源耗尽’结论。,部分一致
patch.py,pytorch/torch_npu/_inductor/experimental/python_wrapper_fast_launch/patch.py,patched_make_launcher,是,CUDA 没有 NPU planned fast-launch patch 的对应功能。该 NPU 功能是可选优化，默认 TORCHINDUCTOR_NPU_FAST_LAUNCH=False。,启用 fast launch 后 metadata 构建异常可到达 except，但函数有意返回原 launcher。后续 build_planned_fast_launch 会对 kernel_name、stub、grid resolver 等 metadata 做完整校验，缺失时抛 FastLaunchPlanUnavailable，BoundFastLaunch 捕获后回退原 autotuner/launcher。,否,异常被吞是该可选优化的兼容 fallback 边界，不会吞掉 kernel 编译或执行错误；实际结果是失去 fast launch 优化而保持原 launcher 正确性。缺日志仅属于诊断增强。,无对应实现
wrapper.py,pytorch/torch_npu/_inductor/codegen/wrapper.py,generate_return,是,CUDA 没有 NPU static ACLNN kernel dump/compile 上下文的对应功能，无法按 CUDA 同源实现排除。,可触发。_use_static_aclnn_kernel 默认 False，但公开测试 test_use_static_kernel 会显式设为 True。生成代码在 write_prefix 成功 __enter__ 后把 has_initialized 设为 True；generate_return 却仅在 not has_initialized 时调用 __exit__，正常启用路径必然跳过 stop dump 和后续 static compilation。,是,条件与上下文状态确定性相反，不依赖异常或恶意输入；只要启用已有 static kernel 功能即可触发。,无对应实现
codecache.py,pytorch/torch_npu/_inductor/codecache.py,CATLASSCodeCache.compile,是,"CUDA 的 CUTLASSCodeCache.compile 在 torch/_inductor/codecache.py 中使用相同的 subprocess.check_output(cmd_parts, stderr=STDOUT, env=os.environ)，同样没有 timeout，且只捕获 CalledProcessError；实现一致。",只有本机 bisheng 编译器自身挂死才会无限等待。source/config 可以导致编译失败，但失败会返回 CalledProcessError；没有证据表明普通模型输入可稳定造成编译器不退出。,否,该实现与 CUDA CUTLASS codecache 一致，按约定属于非问题；timeout 可作为全后端统一的鲁棒性增强，不能单独认定为 NPU 缺陷。,一致
ascend_graph_pass.py,pytorch/torch_npu/_inductor/fx_passes/ascend_custom_passes/ascend_graph_pass.py,_replay_view_chain,是,CUDA 没有 bool_cast_mul_to_where_pass 的相同 pass；但 CUDA Inductor 中也存在对可选 metadata/debug 信息使用 broad catch 后继续的模式。,异常只发生在新 view node 的可选 fake meta 刷新，不会跳过 graph node 创建。允许的 chain 仅包含 view/reshape/expand 等白名单操作；若刷新失败，new_where 在第2039-2040行回用原 mul.meta['val']，运行时 graph 语义仍由已创建的 view 和 where 节点保证。,否,扫描所称‘后续状态不一致’被显式 fallback 覆盖；未找到缺少中间 new_node.meta 会在该 pass 后造成编译错误的消费者。实际影响仅是中间节点诊断 metadata 不完整。,无对应实现
