文件名,文件路径,函数名,行号,风险类型,技术解释,是否是问题,原因
parallelism_strategy_cv.py,pytorch/torch_npu/_inductor/fx_passes/parallelism_strategy_cv.py,_get_longest_continuous_segment,"[134]",异常处理,"pos_map 只包含 nodes 中同时属于 candidates 的节点，而 sorted_candidates 仍包含所有 candidates。若 candidates 中存在不在 nodes 中的节点，排序时虽然使用 pos_map.get 避免 KeyError，但第134行 pos_map[curr_node] 直接按下标访问会触发 KeyError。建议先过滤出存在于 pos_map 的候选节点，或使用 pos_map.get 并跳过缺失节点。",否,"当前调用链中 candidates 来自 extract_special_groups，而该列表来自 DefaultParallelStrategy 基于同一 nodes 列表生成的 group（当前代码第163、168-169行），正常情况下 candidates 是 nodes 的子集；仅直接以不一致参数调用该内部方法时才会触发，属于防御性加固建议。"
triton_heuristics.py,pytorch/torch_npu/_inductor/runtime/triton_heuristics.py,NPUDebugAutotuner.run,"[2811]",资源限制与配额,"collected_calls 是全局列表，NPUDebugAutotuner.run 每次执行到该处都会无条件追加一条 (ms, num_gb, gb_per_s, kernel_name) 记录，且没有长度上限或清理机制。长时间运行或高频调用时，列表会持续增长，导致内存占用不断上升，最终可能造成内存耗尽。建议限制收集条数（如使用 collections.deque(maxlen=N)）或在记录达到阈值后清理/只保留统计信息。",否,"当前 v2.10.0 的 collected_calls 由 PyTorch runtime 提供，并在 start_graph() 中 clear、end_graph() 中消费；记录量受单个编译 graph 的 kernel 数量限制，不会跨 graph 无限累积。当前行号已漂移至 torch_npu 文件第2975行。"
ir.py,pytorch/torch_npu/_inductor/codegen/ir.py,calculate_max_remainder,"[625]",资源限制与配额,"在 calculate_max_remainder 的整数分支中，当 length-1 < period-1 且 max_possible >= divisor_int 时，start_k 会被计算为 0，for 循环将迭代 length 次。length 可能来自 range_tree_nodes[symbol].length，受外部输入张量形状影响；若 length 过大，编译器在代码生成阶段会执行海量循环，导致 CPU 资源耗尽/拒绝服务。建议改用数论方法计算最大余数，或在 length 过大时直接返回保守估计值 float('inf')。",是,"当前代码第625-628行确实按 k 逐项计算余数；在 length 小于周期但仍满足 coeff*length >= divisor 时，循环复杂度为 O(length)。length 来自第726、978行的 range node 长度，超大动态/符号形状可放大编译 CPU 开销。"
profiler.py,pytorch/torch_npu/_inductor/profiler.py,mspti_batch_benchmark,"[165,166,172]",资源泄露,"KernelMonitor.start 开启监控后，后续的 kernel_funcs 循环及同步操作没有使用 try/finally 保护；若 fn() 或 torch.npu.synchronize() 抛出异常，monitor.stop() 不会执行，可能导致 MSpti 监控会话无法正常结束并造成资源泄露。建议将 monitor.start(callback) 到 monitor.stop() 之间的逻辑放入 try/finally，在 finally 中调用 monitor.stop()。",是,"当前第165行启动监控，第166-171行执行可抛异常的 kernel 和同步，第172行才 stop；中途异常会直接跳过 stop，资源清理路径不完整。"
profiler.py,pytorch/torch_npu/_inductor/profiler.py,SimpleProfilingAnalyzer._msprof_py_export,"[55]",资源限制与配额,"subprocess.run 调用 msprof.py 时未设置 timeout，且 capture_output=True 会无限制地捕获子进程的标准输出和标准错误。若 msprof.py 执行挂起，将导致当前进程无限期阻塞；若子进程产生大量输出，则可能造成内存耗尽。建议为 subprocess.run 增加 timeout 参数，并将 stdout/stderr 重定向到文件或使用 communicate(timeout=...) 限制输出大小与执行时间。",否,"CUDA Inductor 调用 ncu/编译器等外部工具时也普遍不设 timeout；正常路径执行受信任的本机 msprof.py，只有工具自身挂死或异常输出失控才会出现描述中的风险，未发现模型输入或普通 API 参数可实际触发。"
profiler.py,pytorch/torch_npu/_inductor/profiler.py,SimpleProfilingAnalyzer.trace_ready,"[129]",日志与异常处理,"在trace_ready方法中，使用except Exception捕获所有异常，过于宽泛，可能掩盖安全相关错误或程序缺陷。当msprof.py子进程执行失败或数据处理出现异常时，仅打印警告并回退到默认处理器，未记录异常堆栈，导致问题难以排查。建议捕获具体异常类型（如RuntimeError、OSError等），并记录完整异常信息，避免过度宽泛的异常捕获。",否,"这里的 broad catch 是显式 fallback 设计：第129-133行把自定义解析失败统一切换到 tensorboard_trace_handler，且 warning 已包含异常文本。缺少 traceback 会降低诊断性，但不构成当前功能错误。"
gemm_autotune.py,pytorch/torch_npu/_inductor/codegen/catlass/catlass_library/gemm_autotune.py,aligned_decrease_iterator,"[100]",除零错误,"函数中第100行执行 value // alignment，alignment 为外部传入参数且未校验其是否大于0。若调用方传入 alignment=0，会直接触发 ZeroDivisionError。建议在函数开头增加对 alignment 的合法性校验，例如 if alignment <= 0: raise ValueError('alignment must be positive')，确保 alignment 始终为正数。",否,"当前实现的调用点第222-224、255-257行均使用默认 alignment=16，未发现传入0或负数的调用；该函数参数校验可增强 API 健壮性，但扫描未证明存在当前可达触发路径。"
npu_compare.py,pytorch/torch_npu/_inductor/npu_compare.py,_load_fx_model,"[265,267]",任意代码执行,"在_load_fx_model函数中，acc_meta中的traced_graph_cache和traced_graph_hash未经验证即用于构造dump_path，并通过sys.path.insert将路径加入模块搜索路径，随后importlib.import_module导入模块。如果攻击者能够控制这些参数（例如通过配置文件或外部输入），则可以构造恶意模块路径，导致在导入时执行任意代码。建议对路径和模块名进行白名单校验，确保只从可信的缓存目录加载，或使用importlib.util.spec_from_file_location等安全方式加载特定文件。",否,"正常路径中 metadata 由 scheduling/meta_kernel 生成：traced_graph_hash 是源码哈希，cache/hash 目录由编译器写入；该导入是加载已生成 FX fallback 模块的预期行为。未发现外部不可信输入可直接控制这两个字段，属于信任边界假设下的防御性建议。"
npu_compare.py,pytorch/torch_npu/_inductor/npu_compare.py,check_accuracy_triton,"[196]",文件权限控制,"torch.save 在保存输入快照到 fail_path 时，未显式指定文件权限，默认创建的文件权限可能为 0644（受 umask 影响），导致其他用户可读取该文件，存在敏感数据泄露风险。建议使用 os.open 以 0o600 权限创建文件后再写入，或使用 tempfile.NamedTemporaryFile 等方式确保文件权限安全。",否,"第192-196行保存到 TORCHINDUCTOR/traced graph 调试缓存目录；文件权限受进程 umask 和目录权限共同控制，代码本身不能推出必然的0644或跨用户可读，属于可选的敏感数据保护加固。"
graph_fusion.py,pytorch/torch_npu/_inductor/mfusion/graph_fusion.py,_is_mfusion_related_ir,"[315]",栈溢出,"递归遍历IR输入时未限制递归深度，深层嵌套的IR图可能导致Python递归调用栈溢出（或触发RecursionError），造成拒绝服务风险。建议增加最大递归深度限制或改为迭代遍历。",否,"CUDA 基础 IR 的 MultiOutput.get_free_symbol_uses 和 InputsKernel.get_free_symbol_uses 也递归遍历 inputs，递归模型一致；正常 MFusion MultiOutput 通常直接引用 parent FallbackKernel，扫描没有正常图可达到 Python recursion limit 的证据。"
